Valve Characterization 11/03/19 12:20 PM
STEPPER MOTOR POSITION(STEPS FROM CLOSED) , PRESSURE TRANSDUCER READING (RAW)
12:12:59.273 -> 0,261
12:12:59.273 -> 0,262
12:12:59.383 -> 0,261
12:12:59.383 -> 0,260
12:12:59.383 -> 0,261
12:12:59.383 -> 0,261
12:12:59.383 -> 0,262
12:12:59.484 -> 0,262
12:12:59.484 -> 0,261
12:12:59.484 -> 0,261
12:12:59.484 -> 0,261
12:12:59.484 -> 0,261
12:12:59.557 -> 0,261
12:12:59.557 -> 0,261
12:12:59.557 -> 0,261
12:12:59.557 -> 0,263
12:12:59.661 -> 0,261
12:12:59.661 -> 0,261
12:12:59.661 -> 0,260
12:12:59.661 -> 0,262
12:12:59.661 -> 0,262
12:12:59.731 -> 0,262
12:12:59.731 -> 0,261
12:12:59.731 -> 0,261
12:12:59.731 -> 0,261
12:12:59.835 -> 0,261
12:12:59.835 -> 0,262
12:12:59.835 -> 0,262
12:12:59.835 -> 0,261
12:12:59.835 -> 0,261
12:12:59.943 -> 0,262
12:12:59.943 -> 0,262
12:12:59.943 -> 0,261
12:12:59.943 -> 0,261
12:13:00.010 -> 0,262
12:13:00.010 -> 0,261
12:13:00.010 -> 0,261
12:13:00.010 -> 0,261
12:13:00.010 -> 0,260
12:13:00.121 -> 0,261
12:13:00.121 -> 0,262
12:13:00.121 -> 0,262
12:13:00.121 -> 0,261
12:13:00.121 -> 0,261
12:13:00.192 -> 0,262
12:13:00.192 -> 0,263
12:13:00.192 -> 0,262
12:13:00.192 -> 0,261
12:13:00.303 -> 0,261
12:13:00.303 -> 0,262
12:13:00.303 -> 0,262
12:13:00.303 -> 0,261
12:13:00.303 -> 0,261
12:13:00.375 -> 0,260
12:13:00.375 -> 0,262
12:13:00.375 -> 0,261
12:13:00.375 -> 0,262
12:13:00.478 -> 0,261
12:13:00.478 -> 0,261
12:13:00.478 -> 0,261
12:13:00.478 -> 0,262
12:13:00.478 -> 0,262
12:13:00.583 -> 0,262
12:13:00.583 -> 0,261
12:13:00.583 -> 0,262
12:13:00.583 -> 0,262
12:13:00.651 -> 0,262
12:13:00.651 -> 0,262
12:13:00.651 -> 0,261
12:13:00.651 -> 0,262
12:13:00.651 -> 0,261
12:13:00.752 -> 0,262
12:13:00.752 -> 0,261
12:13:00.752 -> 0,261
12:13:00.752 -> 0,261
12:13:00.752 -> 0,262
12:13:00.859 -> 0,261
12:13:00.859 -> 0,262
12:13:00.859 -> 0,261
12:13:00.859 -> 0,262
12:13:00.932 -> 0,263
12:13:00.932 -> 0,261
12:13:00.932 -> 0,262
12:13:00.932 -> 0,260
12:13:00.932 -> 0,262
12:13:01.035 -> 0,262
12:13:01.035 -> 0,262
12:13:01.035 -> 0,262
12:13:01.035 -> 0,262
12:13:01.143 -> 0,262
12:13:01.143 -> 0,262
12:13:01.143 -> 0,261
12:13:01.143 -> 0,261
12:13:01.143 -> 0,261
12:13:01.218 -> 0,262
12:13:01.218 -> 0,262
12:13:01.218 -> 0,262
12:13:01.218 -> 0,263
12:13:01.288 -> 0,261
12:13:01.288 -> 0,262
12:13:01.288 -> 0,261
12:13:01.288 -> 0,262
12:13:01.288 -> 0,262
12:13:01.398 -> 0,262
12:13:01.398 -> 0,261
12:13:01.398 -> 0,261
12:13:01.398 -> 0,261
12:13:01.398 -> 0,261
12:13:01.503 -> 0,261
12:13:01.503 -> 0,263
12:13:01.503 -> 0,262
12:13:01.503 -> 0,263
12:13:01.573 -> 0,262
12:13:01.573 -> 0,261
12:13:01.573 -> 0,261
12:13:01.573 -> 0,262
12:13:01.573 -> 0,262
12:13:01.682 -> 0,261
12:13:01.682 -> 0,261
12:13:01.682 -> 0,262
12:13:01.682 -> 0,262
12:13:01.750 -> 0,262
12:13:01.750 -> 0,261
12:13:01.750 -> 0,260
12:13:01.750 -> 0,262
12:13:01.750 -> 0,262
12:13:01.857 -> 0,262
12:13:01.857 -> 0,261
12:13:01.857 -> 0,260
12:13:01.857 -> 0,262
12:13:01.928 -> 0,262
12:13:01.928 -> 0,262
12:13:01.928 -> 0,261
12:13:01.928 -> 0,262
12:13:01.928 -> 0,263
12:13:02.032 -> 0,262
12:13:02.032 -> 0,261
12:13:02.032 -> 0,262
12:13:02.032 -> 0,261
12:13:02.032 -> 0,262
12:13:02.142 -> 0,263
12:13:02.142 -> 0,263
12:13:02.142 -> 0,261
12:13:02.142 -> 0,261
12:13:02.212 -> 0,262
12:13:02.212 -> 0,263
12:13:02.212 -> 0,262
12:13:02.212 -> 0,262
12:13:02.212 -> 0,262
12:13:02.320 -> 0,261
12:13:02.320 -> 0,261
12:13:02.320 -> 0,262
12:13:02.320 -> 0,262
12:13:02.388 -> 0,261
12:13:02.388 -> 0,262
12:13:02.388 -> 0,262
12:13:02.388 -> 0,263
12:13:02.388 -> 0,260
12:13:02.491 -> 0,261
12:13:02.491 -> 0,261
12:13:02.491 -> 0,262
12:13:02.491 -> 0,262
12:13:02.596 -> 0,262
12:13:02.596 -> 0,261
12:13:02.596 -> 0,261
12:13:02.596 -> 0,262
12:13:02.596 -> 0,261
12:13:02.708 -> 0,262
12:13:02.708 -> 0,261
12:13:02.708 -> 0,262
12:13:02.708 -> 0,262
12:13:02.708 -> 0,261
12:13:02.781 -> 0,262
12:13:02.781 -> 0,262
12:13:02.781 -> 0,261
12:13:02.781 -> 0,262
12:13:02.848 -> 0,263
12:13:02.848 -> 0,262
12:13:02.848 -> 0,262
12:13:02.848 -> 0,261
12:13:02.848 -> 0,262
12:13:02.949 -> 0,262
12:13:02.949 -> 0,262
12:13:02.949 -> 0,262
12:13:02.949 -> 0,262
12:13:03.054 -> 0,264
12:13:03.054 -> 0,262
12:13:03.054 -> 0,263
12:13:03.054 -> 0,262
12:13:03.054 -> 0,263
12:13:03.130 -> 0,262
12:13:03.130 -> 0,263
12:13:03.130 -> 0,261
12:13:03.130 -> 0,262
12:13:03.233 -> 0,261
12:13:03.233 -> 0,263
12:13:03.233 -> 0,261
12:13:03.233 -> 0,262
12:13:03.233 -> 0,262
12:13:03.338 -> 0,262
12:13:03.338 -> 0,263
12:13:03.338 -> 0,263
12:13:03.338 -> 0,262
12:13:03.338 -> 0,262
12:13:03.409 -> 0,262
12:13:03.409 -> 0,263
12:13:03.409 -> 0,263
12:13:03.409 -> 0,261
12:13:03.513 -> 0,262
12:13:03.513 -> 0,262
12:13:03.513 -> 0,262
12:13:03.513 -> 0,262
12:13:03.513 -> 0,262
12:13:03.589 -> 0,261
12:13:03.589 -> 0,261
12:13:03.589 -> 0,264
12:13:03.589 -> 0,262
12:13:03.693 -> 0,262
12:13:03.693 -> 0,261
12:13:03.693 -> 0,263
12:13:03.693 -> 0,263
12:13:03.693 -> 0,263
12:13:03.765 -> 0,262
12:13:03.765 -> 0,262
12:13:03.765 -> 0,262
12:13:03.765 -> 0,262
12:13:03.870 -> 0,263
12:13:03.870 -> 0,262
12:13:03.870 -> 0,262
12:13:03.870 -> 0,263
12:13:03.870 -> 0,263
12:13:03.972 -> 0,262
12:13:03.972 -> 0,261
12:13:03.972 -> 0,262
12:13:03.972 -> 0,262
12:13:03.972 -> 0,263
12:13:04.043 -> 0,262
12:13:04.043 -> 0,262
12:13:04.043 -> 0,262
12:13:04.043 -> 0,261
12:13:04.150 -> 0,262
12:13:04.150 -> 0,262
12:13:04.150 -> 0,263
12:13:04.150 -> 0,262
12:13:04.150 -> 0,263
12:13:04.218 -> 0,263
12:13:04.218 -> 0,263
12:13:04.218 -> 0,262
12:13:04.218 -> 0,262
12:13:04.324 -> 0,262
12:13:04.324 -> 0,263
12:13:04.324 -> 0,262
12:13:04.324 -> 0,263
12:13:04.324 -> 0,261
12:13:04.393 -> 0,263
12:13:04.393 -> 0,262
12:13:04.393 -> 0,263
12:13:04.393 -> 0,262
12:13:04.504 -> 0,262
12:13:04.504 -> 0,262
12:13:04.504 -> 0,263
12:13:04.504 -> 0,261
12:13:04.504 -> 0,262
12:13:04.613 -> 0,262
12:13:04.613 -> 0,262
12:13:04.613 -> 0,263
12:13:04.613 -> 0,263
12:13:04.613 -> 0,263
12:13:04.684 -> 0,262
12:13:04.684 -> 0,262
12:13:04.684 -> 0,262
12:13:04.684 -> 0,263
12:13:04.794 -> 0,263
12:13:04.794 -> 0,263
12:13:04.794 -> 0,263
12:13:04.794 -> 0,262
12:13:04.794 -> 0,263
12:13:04.868 -> 0,262
12:13:04.868 -> 0,263
12:13:04.868 -> 0,263
12:13:04.868 -> 0,262
12:13:04.980 -> 0,263
12:13:04.980 -> 0,263
12:13:04.980 -> 0,261
12:13:04.980 -> 0,262
12:13:04.980 -> 0,262
12:13:05.052 -> 0,263
12:13:05.052 -> 0,263
12:13:05.052 -> 0,263
12:13:05.052 -> 0,263
12:13:05.161 -> 0,262
12:13:05.161 -> 0,262
12:13:05.161 -> 0,262
12:13:05.161 -> 0,263
12:13:05.161 -> 0,262
12:13:05.231 -> 0,262
12:13:05.231 -> 0,263
12:13:05.231 -> 0,261
12:13:05.231 -> 0,261
12:13:05.231 -> 0,262
12:13:05.335 -> 0,262
12:13:05.335 -> 0,262
12:13:05.335 -> 0,263
12:13:05.335 -> 0,263
12:13:05.440 -> 0,263
12:13:05.440 -> 0,262
12:13:05.440 -> 0,263
12:13:05.440 -> 0,263
12:13:05.440 -> 0,262
12:13:05.511 -> 0,262
12:13:05.511 -> 0,262
12:13:05.511 -> 0,263
12:13:05.511 -> 0,262
12:13:05.586 -> 0,261
12:13:05.586 -> 0,261
12:13:05.586 -> 0,263
12:13:05.586 -> 0,262
12:13:05.586 -> 0,262
12:13:05.690 -> 0,262
12:13:05.690 -> 0,263
12:13:05.690 -> 0,263
12:13:05.690 -> 0,262
12:13:05.795 -> 0,262
12:13:05.795 -> 0,262
12:13:05.795 -> 0,264
12:13:05.795 -> 0,264
12:13:05.795 -> 0,263
12:13:05.902 -> 0,262
12:13:05.902 -> 0,262
12:13:05.902 -> 0,263
12:13:05.902 -> 0,264
12:13:05.902 -> 0,263
12:13:05.973 -> 0,262
12:13:05.973 -> 0,262
12:13:05.973 -> 0,263
12:13:05.973 -> 0,263
12:13:06.079 -> 0,263
12:13:06.079 -> 0,262
12:13:06.079 -> 0,261
12:13:06.079 -> 0,263
12:13:06.079 -> 0,263
12:13:06.148 -> 0,264
12:13:06.148 -> 0,261
12:13:06.148 -> 0,262
12:13:06.148 -> 0,262
12:13:06.252 -> 0,263
12:13:06.252 -> 0,263
12:13:06.252 -> 0,263
12:13:06.252 -> 0,263
12:13:06.252 -> 0,263
12:13:06.322 -> 0,263
12:13:06.322 -> 0,263
12:13:06.322 -> 0,262
12:13:06.322 -> 0,262
12:13:06.424 -> 0,263
12:13:06.424 -> 0,264
12:13:06.424 -> 0,264
12:13:06.424 -> 0,262
12:13:06.424 -> 0,261
12:13:06.527 -> 0,261
12:13:06.527 -> 0,263
12:13:06.527 -> 0,264
12:13:06.527 -> 0,261
12:13:06.527 -> 0,263
12:13:06.594 -> 0,263
12:13:06.594 -> 0,262
12:13:06.594 -> 0,264
12:13:06.594 -> 0,263
12:13:06.697 -> 0,262
12:13:06.697 -> 0,263
12:13:06.697 -> 0,263
12:13:06.697 -> 0,264
12:13:06.697 -> 0,262
12:13:06.803 -> 0,262
12:13:06.803 -> 0,262
12:13:06.803 -> 0,262
12:13:06.803 -> 0,263
12:13:06.872 -> 0,262
12:13:06.872 -> 0,263
12:13:06.872 -> 0,262
12:13:06.872 -> 0,262
12:13:06.872 -> 0,263
12:13:06.979 -> 0,262
12:13:06.979 -> 0,263
12:13:06.979 -> 0,263
12:13:06.979 -> 0,262
12:13:07.050 -> 0,262
12:13:07.050 -> 0,263
12:13:07.050 -> 0,263
12:13:07.050 -> 0,264
12:13:07.050 -> 0,264
12:13:07.158 -> 0,263
12:13:07.158 -> 0,263
12:13:07.158 -> 0,263
12:13:07.158 -> 0,262
12:13:07.158 -> 0,262
12:13:07.234 -> 0,262
12:13:07.234 -> 0,263
12:13:07.234 -> 0,262
12:13:07.234 -> 0,263
12:13:07.344 -> 0,262
12:13:07.344 -> 0,262
12:13:07.344 -> 0,262
12:13:07.344 -> 0,262
12:13:07.344 -> 0,263
12:13:07.412 -> 0,263
12:13:07.412 -> 0,264
12:13:07.412 -> 0,262
12:13:07.412 -> 0,263
12:13:07.520 -> 0,263
12:13:07.520 -> 0,264
12:13:07.520 -> 0,263
12:13:07.520 -> 0,264
12:13:07.520 -> 0,264
12:13:07.594 -> 0,263
12:13:07.594 -> 0,264
12:13:07.594 -> 0,262
12:13:07.594 -> 0,262
12:13:07.699 -> 0,262
12:13:07.699 -> 0,264
12:13:07.699 -> 0,265
12:13:07.699 -> 0,262
12:13:07.699 -> 0,263
12:13:07.808 -> 0,261
12:13:07.808 -> 0,263
12:13:07.808 -> 0,263
12:13:07.808 -> 0,262
12:13:07.808 -> 0,263
12:13:07.884 -> 0,263
12:13:07.884 -> 0,265
12:13:07.884 -> 0,263
12:13:07.884 -> 0,263
12:13:07.992 -> 0,262
12:13:07.992 -> 0,263
12:13:07.992 -> 0,264
12:13:07.992 -> 0,264
12:13:07.992 -> 0,263
12:13:08.063 -> 0,264
12:13:08.063 -> 0,262
12:13:08.063 -> 0,263
12:13:08.063 -> 0,263
12:13:08.167 -> 0,263
12:13:08.167 -> 0,263
12:13:08.167 -> 0,262
12:13:08.167 -> 0,263
12:13:08.167 -> 0,265
12:13:08.240 -> 0,263
12:13:08.240 -> 0,262
12:13:08.240 -> 0,262
12:13:08.240 -> 0,265
12:13:08.342 -> 0,265
12:13:08.342 -> 0,263
12:13:08.342 -> 0,263
12:13:08.342 -> 0,262
12:13:08.342 -> 0,262
12:13:08.442 -> 0,264
12:13:08.442 -> 0,264
12:13:08.442 -> 0,263
12:13:08.442 -> 0,263
12:13:08.442 -> 0,263
12:13:08.512 -> 0,264
12:13:08.512 -> 0,263
12:13:08.512 -> 0,263
12:13:08.512 -> 0,263
12:13:08.616 -> 0,263
12:13:08.616 -> 0,263
12:13:08.616 -> 0,264
12:13:08.616 -> 0,263
12:13:08.616 -> 0,262
12:13:08.724 -> 0,262
12:13:08.724 -> 0,263
12:13:08.724 -> 0,265
12:13:08.724 -> 0,264
12:13:08.798 -> 0,262
12:13:08.798 -> 0,264
12:13:08.798 -> 0,265
12:13:08.798 -> 0,264
12:13:08.798 -> 0,263
12:13:08.903 -> 0,263
12:13:08.903 -> 0,264
12:13:08.903 -> 0,265
12:13:08.903 -> 0,264
12:13:08.972 -> 0,264
12:13:08.972 -> 0,262
12:13:08.972 -> 0,262
12:13:08.972 -> 0,264
12:13:08.972 -> 0,263
12:13:09.078 -> 0,263
12:13:09.078 -> 0,263
12:13:09.078 -> 0,265
12:13:09.078 -> 0,263
12:13:09.078 -> 0,263
12:13:09.180 -> 0,264
12:13:09.180 -> 0,263
12:13:09.180 -> 0,263
12:13:09.180 -> 0,264
12:13:09.248 -> 0,264
12:13:09.248 -> 0,263
12:13:09.248 -> 0,262
12:13:09.248 -> 0,263
12:13:09.248 -> 0,265
12:13:09.353 -> 0,263
12:13:09.353 -> 0,263
12:13:09.353 -> 0,262
12:13:09.353 -> 0,264
12:13:09.461 -> 0,263
12:13:09.461 -> 0,263
12:13:09.461 -> 0,263
12:13:09.461 -> 0,264
12:13:09.461 -> 0,264
12:13:09.533 -> 0,264
12:13:09.533 -> 0,264
12:13:09.533 -> 0,263
12:13:09.533 -> 0,263
12:13:09.607 -> 0,264
12:13:09.607 -> 0,264
12:13:09.607 -> 0,265
12:13:09.607 -> 0,263
12:13:09.607 -> 0,263
12:13:09.716 -> 0,264
12:13:09.716 -> 0,263
12:13:09.716 -> 0,263
12:13:09.716 -> 0,262
12:13:09.716 -> 0,263
12:13:09.825 -> 0,263
