// up to max 1900 psi, opened motor fully and then started measuring pressure.
14:07:54.570 -> 0,5
14:07:54.607 -> 0,0
14:07:54.607 -> 0,0
14:07:54.643 -> 0,0
14:07:54.643 -> 0,0
14:07:54.679 -> 0,0
14:07:54.679 -> 0,0
14:07:54.712 -> 0,0
14:07:54.712 -> 0,2
14:07:54.747 -> 0,6
14:07:54.782 -> 0,7
14:07:54.782 -> 0,1
14:07:54.816 -> 0,0
14:07:54.816 -> 0,0
14:07:54.850 -> 0,0
14:07:54.885 -> 0,0
14:07:54.885 -> 0,0
14:07:54.920 -> 0,0
14:07:54.920 -> 0,0
14:07:54.956 -> 0,5
14:07:54.956 -> 0,9
14:07:54.992 -> 0,6
14:07:54.992 -> 0,0
14:07:55.027 -> 0,0
14:07:55.063 -> 0,0
14:07:55.063 -> 0,0
14:07:55.097 -> 0,0
14:07:55.097 -> 0,0
14:07:55.130 -> 0,6
14:07:55.165 -> 0,5
14:07:55.165 -> 0,0
14:07:55.201 -> 0,5
14:07:55.201 -> 0,1
14:07:55.235 -> 0,0
14:07:55.235 -> 0,0
14:07:55.271 -> 0,0
14:07:55.306 -> 0,0
14:07:55.306 -> 0,0
14:07:55.343 -> 0,4
14:07:55.343 -> 0,5
14:07:55.376 -> 0,0
14:07:55.376 -> 0,2
14:07:55.412 -> 0,0
14:07:55.412 -> 0,0
14:07:55.447 -> 0,0
14:07:55.483 -> 0,0
14:07:55.483 -> 0,0
14:07:55.516 -> 0,0
14:07:55.516 -> 0,4
14:07:55.552 -> 0,2
14:07:55.552 -> 0,3
14:07:55.588 -> 0,1
14:07:55.623 -> 0,0
14:07:55.623 -> 0,0
14:07:55.660 -> 0,0
14:07:55.660 -> 0,0
14:07:55.696 -> 0,0
14:07:55.696 -> 0,0
14:07:55.733 -> 0,5
14:07:55.733 -> 0,7
14:07:55.769 -> 0,4
14:07:55.805 -> 0,5
14:07:55.805 -> 0,0
14:07:55.842 -> 0,0
14:07:55.842 -> 0,0
14:07:55.878 -> 0,0
14:07:55.878 -> 0,1
14:07:55.913 -> 0,0
14:07:55.913 -> 0,5
14:07:55.949 -> 0,4
14:07:55.985 -> 0,0
14:07:55.985 -> 0,3
14:07:56.021 -> 0,0
14:07:56.021 -> 0,0
14:07:56.055 -> 0,0
14:07:56.055 -> 0,0
14:07:56.091 -> 0,2
14:07:56.127 -> 0,0
14:07:56.127 -> 0,4
14:07:56.162 -> 0,7
14:07:56.162 -> 0,3
14:07:56.196 -> 0,0
14:07:56.196 -> 0,0
14:07:56.231 -> 0,0
14:07:56.231 -> 0,0
14:07:56.268 -> 0,0
14:07:56.305 -> 0,0
14:07:56.305 -> 0,0
14:07:56.339 -> 0,6
14:07:56.339 -> 0,9
14:07:56.375 -> 0,2
14:07:56.375 -> 0,0
14:07:56.410 -> 0,0
14:07:56.447 -> 0,0
14:07:56.447 -> 0,0
14:07:56.482 -> 0,2
14:07:56.482 -> 0,8
14:07:56.519 -> 0,6
14:07:56.519 -> 0,2
14:07:56.555 -> 0,0
14:07:56.555 -> 0,0
14:07:56.592 -> 0,0
14:07:56.592 -> 0,0
14:07:56.627 -> 0,0
14:07:56.663 -> 0,0
14:07:56.663 -> 0,5
14:07:56.699 -> 0,7
14:07:56.699 -> 0,2
14:07:56.734 -> 0,0
14:07:56.734 -> 0,0
14:07:56.772 -> 0,0
14:07:56.772 -> 0,0
14:07:56.808 -> 0,0
14:07:56.843 -> 0,0
14:07:56.843 -> 0,0
14:07:56.880 -> 0,0
14:07:56.880 -> 0,7
14:07:56.916 -> 0,2
14:07:56.916 -> 0,0
14:07:56.951 -> 0,0
14:07:56.951 -> 0,0
14:07:56.987 -> 0,0
14:07:57.022 -> 0,0
14:07:57.022 -> 0,5
14:07:57.058 -> 0,6
14:07:57.058 -> 0,2
14:07:57.094 -> 0,1
14:07:57.094 -> 0,0
14:07:57.131 -> 0,0
14:07:57.167 -> 0,0
14:07:57.167 -> 0,0
14:07:57.202 -> 0,0
14:07:57.202 -> 0,0
14:07:57.236 -> 0,4
14:07:57.236 -> 0,9
14:07:57.271 -> 0,0
14:07:57.271 -> 0,0
14:07:57.307 -> 0,0
14:07:57.342 -> 0,0
14:07:57.342 -> 0,0
14:07:57.381 -> 0,0
14:07:57.381 -> 0,4
14:07:57.417 -> 0,0
14:07:57.417 -> 0,5
14:07:57.451 -> 0,5
14:07:57.451 -> 0,0
14:07:57.488 -> 0,1
14:07:57.523 -> 0,0
14:07:57.523 -> 0,0
14:07:57.560 -> 0,0
14:07:57.560 -> 0,0
14:07:57.595 -> 0,9
14:07:57.595 -> 0,0
14:07:57.632 -> 0,0
14:07:57.632 -> 0,3
14:07:57.669 -> 0,0
14:07:57.705 -> 0,0
14:07:57.705 -> 0,0
14:07:57.740 -> 0,0
14:07:57.740 -> 0,0
14:07:57.776 -> 0,0
14:07:57.776 -> 0,2
14:07:57.812 -> 0,4
14:07:57.812 -> 0,1
14:07:57.849 -> 0,5
14:07:57.884 -> 0,0
14:07:57.884 -> 0,0
14:07:57.920 -> 0,0
14:07:57.920 -> 0,0
14:07:57.955 -> 0,0
14:07:57.955 -> 0,9
14:07:57.991 -> 0,3
14:07:58.026 -> 0,2
14:07:58.026 -> 0,0
14:07:58.062 -> 0,0
14:07:58.062 -> 0,0
14:07:58.098 -> 0,0
14:07:58.098 -> 0,0
14:07:58.131 -> 0,3
14:07:58.166 -> 0,1
14:07:58.166 -> 0,0
14:07:58.201 -> 0,0
14:07:58.201 -> 0,0
14:07:58.238 -> 0,0
14:07:58.238 -> 0,0
14:07:58.274 -> 0,0
14:07:58.274 -> 0,1
14:07:58.309 -> 0,8
14:07:58.346 -> 0,2
14:07:58.346 -> 0,0
14:07:58.380 -> 0,0
14:07:58.380 -> 0,0
14:07:58.415 -> 0,0
14:07:58.415 -> 0,0
14:07:58.454 -> 0,0
14:07:58.454 -> 0,2
14:07:58.487 -> 0,0
14:07:58.520 -> 0,6
14:07:58.520 -> 0,5
14:07:58.554 -> 0,0
14:07:58.554 -> 0,0
14:07:58.587 -> 0,0
14:07:58.620 -> 0,0
14:07:58.620 -> 0,3
14:07:58.658 -> 0,4
14:07:58.658 -> 0,2
14:07:58.692 -> 0,6
14:07:58.692 -> 0,0
14:07:58.726 -> 0,0
14:07:58.761 -> 0,0
14:07:58.761 -> 0,0
14:07:58.797 -> 0,0
14:07:58.797 -> 0,0
14:07:58.832 -> 0,5
14:07:58.832 -> 0,7
14:07:58.867 -> 0,5
14:07:58.904 -> 0,0
14:07:58.904 -> 0,0
14:07:58.937 -> 0,0
14:07:58.937 -> 0,0
14:07:58.971 -> 0,0
14:07:59.004 -> 0,6
14:07:59.004 -> 0,9
14:07:59.041 -> 0,0
14:07:59.041 -> 0,0
14:07:59.078 -> 0,0
14:07:59.078 -> 0,0
14:07:59.113 -> 0,0
14:07:59.113 -> 0,0
14:07:59.148 -> 0,0
14:07:59.186 -> 0,1
14:07:59.186 -> 0,4
14:07:59.221 -> 0,1
14:07:59.221 -> 0,0
14:07:59.258 -> 0,0
14:07:59.258 -> 0,0
14:07:59.293 -> 0,0
14:07:59.293 -> 0,0
14:07:59.328 -> 0,3
14:07:59.363 -> 0,3
14:07:59.363 -> 0,0
14:07:59.397 -> 0,3
14:07:59.397 -> 0,0
14:07:59.436 -> 0,0
14:07:59.436 -> 0,0
14:07:59.472 -> 0,0
14:07:59.472 -> 0,0
14:07:59.508 -> 0,0
14:07:59.542 -> 0,11
14:07:59.542 -> 0,0
14:07:59.577 -> 0,0
14:07:59.577 -> 0,0
14:07:59.613 -> 0,0
14:07:59.613 -> 0,4
14:07:59.648 -> 0,3
14:07:59.683 -> 0,3
14:07:59.683 -> 0,1
14:07:59.717 -> 0,0
14:07:59.717 -> 0,0
14:07:59.752 -> 0,0
14:07:59.752 -> 0,0
14:07:59.787 -> 0,0
14:07:59.820 -> 0,3
14:07:59.820 -> 0,2
14:07:59.854 -> 0,0
14:07:59.854 -> 0,1
14:07:59.887 -> 0,0
14:07:59.920 -> 0,0
14:07:59.920 -> 0,0
14:07:59.954 -> 0,2
14:07:59.954 -> 0,0
14:07:59.987 -> 0,0
14:08:00.024 -> 0,5
14:08:00.024 -> 0,1
14:08:00.057 -> 0,0
14:08:00.057 -> 0,0
14:08:00.092 -> 0,0
14:08:00.092 -> 0,0
14:08:00.125 -> 0,6
14:08:00.161 -> 0,8
14:08:00.161 -> 0,1
14:08:00.197 -> 0,0
14:08:00.197 -> 0,0
14:08:00.230 -> 0,0
14:08:00.266 -> 0,0
14:08:00.266 -> 0,2
14:08:00.301 -> 0,5
14:08:00.301 -> 0,3
14:08:00.337 -> 0,3
14:08:00.337 -> 0,0
14:08:00.370 -> 0,0
14:08:00.370 -> 0,0
14:08:00.404 -> 0,0
14:08:00.437 -> 0,0
14:08:00.437 -> 0,1
14:08:00.470 -> 0,9
14:08:00.504 -> 0,4
14:08:00.504 -> 0,0
14:08:00.540 -> 0,0
14:08:00.540 -> 0,0
14:08:00.576 -> 0,0
14:08:00.576 -> 0,0
14:08:00.619 -> 0,5
14:08:00.619 -> 0,3
14:08:00.653 -> 0,8
14:08:00.653 -> 0,5
14:08:00.687 -> 0,0
14:08:00.720 -> 0,0
14:08:00.720 -> 0,0
14:08:00.754 -> 0,0
14:08:00.754 -> 0,0
14:08:00.787 -> 0,7
14:08:00.821 -> 0,3
14:08:00.821 -> 0,0
14:08:00.854 -> 0,0
14:08:00.854 -> 0,0
14:08:00.887 -> 0,0
14:08:00.920 -> 0,0
14:08:00.920 -> 0,3
14:08:00.954 -> 0,6
14:08:00.954 -> 0,4
14:08:00.987 -> 0,3
14:08:01.021 -> 0,0
14:08:01.021 -> 0,0
14:08:01.055 -> 0,0
14:08:01.055 -> 0,0
14:08:01.092 -> 0,2
14:08:01.092 -> 0,11
14:08:01.125 -> 0,1
14:08:01.161 -> 0,0
14:08:01.161 -> 0,0
14:08:01.197 -> 0,0
14:08:01.197 -> 0,0
14:08:01.232 -> 0,0
14:08:01.232 -> 0,5
14:08:01.265 -> 0,6
14:08:01.304 -> 0,0
14:08:01.304 -> 0,0
14:08:01.341 -> 0,0
14:08:01.341 -> 0,0
14:08:01.376 -> 0,1
14:08:01.376 -> 0,3
14:08:01.411 -> 0,1
14:08:01.411 -> 0,1
14:08:01.444 -> 0,0
14:08:01.480 -> 0,0
14:08:01.480 -> 0,0
14:08:01.516 -> 0,0
14:08:01.516 -> 0,4
14:08:01.554 -> 0,2
14:08:01.554 -> 0,3
14:08:01.587 -> 0,0
14:08:01.621 -> 0,0
14:08:01.621 -> 0,0
14:08:01.656 -> 0,0
14:08:01.656 -> 0,2
14:08:01.691 -> 0,3
14:08:01.691 -> 0,4
14:08:01.727 -> 0,3
14:08:01.763 -> 0,0
14:08:01.763 -> 0,0
14:08:01.799 -> 0,0
14:08:01.799 -> 0,0
14:08:01.835 -> 0,5
14:08:01.835 -> 0,7
14:08:01.870 -> 0,5
14:08:01.870 -> 0,2
14:08:01.904 -> 0,2
14:08:01.937 -> 0,0
14:08:01.937 -> 0,0
14:08:01.970 -> 0,0
14:08:01.970 -> 0,0
14:08:02.004 -> 0,3
14:08:02.037 -> 0,3
14:08:02.037 -> 0,0
14:08:02.073 -> 0,0
14:08:02.073 -> 0,0
14:08:02.108 -> 0,0
14:08:02.144 -> 0,0
14:08:02.144 -> 0,0
14:08:02.180 -> 0,10
14:08:02.180 -> 0,0
14:08:02.214 -> 0,0
14:08:02.214 -> 0,0
14:08:02.250 -> 0,0
14:08:02.285 -> 0,0
14:08:02.285 -> 0,7
14:08:02.320 -> 0,8
14:08:02.320 -> 0,0
14:08:02.354 -> 0,0
14:08:02.354 -> 0,0
14:08:02.387 -> 0,0
14:08:02.421 -> 0,0
14:08:02.421 -> 0,3
14:08:02.454 -> 0,5
14:08:02.454 -> 0,3
14:08:02.487 -> 0,0
14:08:02.521 -> 0,0
14:08:02.521 -> 0,0
14:08:02.558 -> 0,0
14:08:02.558 -> 0,2
14:08:02.594 -> 0,7
14:08:02.594 -> 0,3
14:08:02.628 -> 0,0
14:08:02.664 -> 0,0
14:08:02.664 -> 0,0
14:08:02.700 -> 0,0
14:08:02.700 -> 0,0
14:08:02.737 -> 0,4
14:08:02.737 -> 0,5
14:08:02.770 -> 0,0
14:08:02.770 -> 0,0
14:08:02.804 -> 0,0
14:08:02.841 -> 0,0
14:08:02.841 -> 0,0
14:08:02.878 -> 0,4
14:08:02.878 -> 0,7
14:08:02.915 -> 0,0
14:08:02.915 -> 0,0
14:08:02.948 -> 0,0
14:08:02.984 -> 0,0
14:08:02.984 -> 0,0
14:08:03.022 -> 0,4
14:08:03.022 -> 0,3
14:08:03.058 -> 0,0
14:08:03.058 -> 0,0
14:08:03.094 -> 0,0
14:08:03.094 -> 0,0
14:08:03.129 -> 0,0
14:08:03.165 -> 0,4
14:08:03.165 -> 0,6
14:08:03.203 -> 0,0
14:08:03.203 -> 0,0
14:08:03.237 -> 0,0
14:08:03.237 -> 0,0
14:08:03.270 -> 0,0
14:08:03.270 -> 0,3
14:08:03.304 -> 0,3
14:08:03.337 -> 0,6
14:08:03.337 -> 0,0
14:08:03.370 -> 0,0
14:08:03.370 -> 0,0
14:08:03.404 -> 0,0
14:08:03.437 -> 0,3
14:08:03.437 -> 0,0
14:08:03.475 -> 0,5
14:08:03.475 -> 0,0
14:08:03.512 -> 0,0
14:08:03.512 -> 0,0
14:08:03.548 -> 0,0
14:08:03.583 -> 0,3
14:08:03.583 -> 0,8
14:08:03.621 -> 0,5
14:08:03.621 -> 0,0
14:08:03.658 -> 0,0
14:08:03.658 -> 0,0
14:08:03.691 -> 0,0
14:08:03.691 -> 0,2
14:08:03.728 -> 0,8
14:08:03.763 -> 0,0
14:08:03.763 -> 0,0
14:08:03.799 -> 0,0
14:08:03.799 -> 0,0
14:08:03.835 -> 0,0
14:08:03.835 -> 0,2
14:08:03.870 -> 0,7
14:08:03.870 -> 0,0
14:08:03.904 -> 0,0
14:08:03.941 -> 0,0
14:08:03.941 -> 0,0
14:08:03.977 -> 0,0
14:08:03.977 -> 0,7
14:08:04.012 -> 0,2
14:08:04.012 -> 0,0
14:08:04.045 -> 0,0
14:08:04.080 -> 0,0
14:08:04.080 -> 0,0
14:08:04.119 -> 0,0
14:08:04.119 -> 0,2
14:08:04.154 -> 0,4
14:08:04.154 -> 0,0
14:08:04.187 -> 0,0
14:08:04.220 -> 0,0
14:08:04.220 -> 0,0
14:08:04.254 -> 0,1
14:08:04.254 -> 0,0
14:08:04.287 -> 0,4
14:08:04.320 -> 0,4
14:08:04.320 -> 0,0
14:08:04.354 -> 0,0
14:08:04.354 -> 0,0
14:08:04.387 -> 0,0
14:08:04.420 -> 0,0
14:08:04.420 -> 0,7
14:08:04.454 -> 0,2
14:08:04.454 -> 0,0
14:08:04.487 -> 0,0
14:08:04.524 -> 0,0
14:08:04.524 -> 0,0
14:08:04.558 -> 0,5
14:08:04.558 -> 0,8
14:08:04.596 -> 0,0
14:08:04.596 -> 0,0
14:08:04.631 -> 0,0
14:08:04.631 -> 0,0
14:08:04.665 -> 0,0
14:08:04.700 -> 0,2
14:08:04.700 -> 0,5
14:08:04.735 -> 0,0
14:08:04.735 -> 0,0
14:08:04.770 -> 0,0
14:08:04.770 -> 0,0
14:08:04.803 -> 0,2
14:08:04.838 -> 0,8
14:08:04.838 -> 0,0
14:08:04.875 -> 0,0
14:08:04.875 -> 0,0
14:08:04.908 -> 0,0
14:08:04.943 -> 0,0
14:08:04.943 -> 0,5
14:08:04.980 -> 0,6
14:08:04.980 -> 0,0
14:08:05.019 -> 0,0
14:08:05.019 -> 0,0
14:08:05.054 -> 0,0
14:08:05.054 -> 0,6
14:08:05.090 -> 0,0
14:08:05.090 -> 0,2
14:08:05.125 -> 0,0
14:08:05.159 -> 0,0
14:08:05.159 -> 0,0
14:08:05.195 -> 0,0
14:08:05.195 -> 0,7
14:08:05.232 -> 0,4
14:08:05.232 -> 0,0
14:08:05.270 -> 0,0
14:08:05.270 -> 0,0
14:08:05.304 -> 0,0
14:08:05.337 -> 0,1
14:08:05.337 -> 0,3
14:08:05.370 -> 0,0
14:08:05.370 -> 0,0
14:08:05.404 -> 0,0
14:08:05.437 -> 0,0
14:08:05.437 -> 0,0
14:08:05.474 -> 0,6
14:08:05.474 -> 0,8
14:08:05.508 -> 0,0
14:08:05.544 -> 0,0
14:08:05.544 -> 0,0
14:08:05.580 -> 0,0
14:08:05.580 -> 0,3
14:08:05.619 -> 0,6
14:08:05.619 -> 0,4
14:08:05.654 -> 0,0
14:08:05.654 -> 0,0
14:08:05.687 -> 0,0
14:08:05.720 -> 0,0
14:08:05.720 -> 0,0
14:08:05.761 -> 0,3
14:08:05.761 -> 0,7
14:08:05.790 -> 0,0
14:08:05.790 -> 0,0
14:08:05.826 -> 0,0
14:08:05.863 -> 0,0
14:08:05.863 -> 0,5
14:08:05.899 -> 0,10
14:08:05.899 -> 0,0
14:08:05.935 -> 0,0
14:08:05.935 -> 0,1
14:08:05.970 -> 0,7
14:08:05.970 -> 0,3
14:08:06.004 -> 0,0
14:08:06.041 -> 0,0
14:08:06.041 -> 0,0
14:08:06.076 -> 0,0
14:08:06.076 -> 0,0
14:08:06.112 -> 0,5
14:08:06.112 -> 0,2
14:08:06.145 -> 0,5
14:08:06.180 -> 0,0
14:08:06.180 -> 0,0
14:08:06.216 -> 0,0
14:08:06.216 -> 0,0
14:08:06.254 -> 0,2
14:08:06.254 -> 0,0
14:08:06.288 -> 0,0
14:08:06.325 -> 0,0
14:08:06.325 -> 0,0
14:08:06.362 -> 0,2
14:08:06.362 -> 0,8
14:08:06.395 -> 0,0
14:08:06.395 -> 0,0
14:08:06.429 -> 0,0
14:08:06.429 -> 0,0
14:08:06.463 -> 0,0
14:08:06.498 -> 0,4
14:08:06.498 -> 0,2
14:08:06.536 -> 0,0
14:08:06.536 -> 0,0
14:08:06.570 -> 0,0
14:08:06.570 -> 0,1
14:08:06.604 -> 0,6
14:08:06.637 -> 0,3
14:08:06.637 -> 0,0
14:08:06.670 -> 0,0
14:08:06.670 -> 0,0
14:08:06.704 -> 0,1
14:08:06.737 -> 0,6
14:08:06.737 -> 0,1
14:08:06.770 -> 0,0
14:08:06.770 -> 0,0
14:08:06.804 -> 0,0
14:08:06.840 -> 0,0
14:08:06.840 -> 0,5
14:08:06.876 -> 0,4
14:08:06.876 -> 0,0
14:08:06.912 -> 0,0
14:08:06.912 -> 0,0
14:08:06.948 -> 0,0
14:08:06.982 -> 0,4
14:08:06.982 -> 0,9
14:08:07.020 -> 0,0
14:08:07.020 -> 0,0
14:08:07.054 -> 0,0
14:08:07.054 -> 0,0
14:08:07.088 -> 0,4
14:08:07.124 -> 0,8
14:08:07.124 -> 0,0
14:08:07.157 -> 0,0
14:08:07.157 -> 0,0
14:08:07.191 -> 0,0
14:08:07.191 -> 0,0
14:08:07.225 -> 0,10
14:08:07.262 -> 0,0
14:08:07.262 -> 0,0
14:08:07.296 -> 0,0
14:08:07.296 -> 0,3
14:08:07.329 -> 0,4
14:08:07.329 -> 0,0
14:08:07.364 -> 0,0
14:08:07.398 -> 0,0
14:08:07.398 -> 0,0
14:08:07.436 -> 0,0
14:08:07.436 -> 0,3
14:08:07.470 -> 0,1
14:08:07.470 -> 0,0
14:08:07.503 -> 0,0
14:08:07.537 -> 0,0
14:08:07.537 -> 0,0
14:08:07.574 -> 0,4
14:08:07.574 -> 0,3
14:08:07.607 -> 0,0
14:08:07.644 -> 0,0
14:08:07.644 -> 0,0
14:08:07.678 -> 0,0
14:08:07.678 -> 0,2
14:08:07.713 -> 0,0
14:08:07.713 -> 0,0
14:08:07.746 -> 0,0
14:08:07.779 -> 0,0
14:08:07.779 -> 0,1
14:08:07.817 -> 0,7
14:08:07.817 -> 0,0
14:08:07.854 -> 0,0
14:08:07.854 -> 0,0
14:08:07.890 -> 0,0
14:08:07.890 -> 0,0
14:08:07.926 -> 0,6
14:08:07.961 -> 0,0
14:08:07.961 -> 0,0
14:08:07.997 -> 0,0
14:08:07.997 -> 0,0
14:08:08.033 -> 0,0
14:08:08.033 -> 0,3
14:08:08.069 -> 0,0
14:08:08.069 -> 0,0
14:08:08.103 -> 0,0
14:08:08.137 -> 0,0
14:08:08.137 -> 0,1
14:08:08.170 -> 0,0
14:08:08.170 -> 0,0
14:08:08.204 -> 0,0
14:08:08.240 -> 0,0
14:08:08.240 -> 0,0
14:08:08.276 -> 0,2
14:08:08.276 -> 0,7
14:08:08.314 -> 0,0
14:08:08.314 -> 0,0
14:08:08.347 -> 0,0
14:08:08.383 -> 0,0
14:08:08.383 -> 0,2
14:08:08.419 -> 0,4
14:08:08.419 -> 0,1
14:08:08.453 -> 0,0
14:08:08.453 -> 0,0
14:08:08.490 -> 0,0
14:08:08.490 -> 0,3
14:08:08.524 -> 0,4
14:08:08.559 -> 0,0
14:08:08.559 -> 0,0
14:08:08.594 -> 0,0
14:08:08.594 -> 0,0
14:08:08.627 -> 0,0
14:08:08.661 -> 0,3
14:08:08.661 -> 0,0
14:08:08.694 -> 0,0
14:08:08.694 -> 0,0
14:08:08.728 -> 0,0
14:08:08.765 -> 0,3
14:08:08.765 -> 0,0
14:08:08.803 -> 0,0
14:08:08.803 -> 0,0
14:08:08.838 -> 0,0
14:08:08.838 -> 0,2
14:08:08.874 -> 0,2
14:08:08.874 -> 0,0
14:08:08.911 -> 0,0
14:08:08.911 -> 0,0
14:08:08.944 -> 0,0
14:08:08.979 -> 0,0
14:08:08.979 -> 0,5
14:08:09.013 -> 0,4
14:08:09.013 -> 0,2
14:08:09.047 -> 0,0
14:08:09.085 -> 0,0
14:08:09.085 -> 0,0
14:08:09.120 -> 0,5
14:08:09.120 -> 0,2
14:08:09.153 -> 0,2
14:08:09.153 -> 0,0
14:08:09.187 -> 0,0
14:08:09.220 -> 0,0
14:08:09.220 -> 0,4
14:08:09.253 -> 0,6
14:08:09.253 -> 0,1
14:08:09.287 -> 0,0
14:08:09.320 -> 0,0
14:08:09.320 -> 0,0
14:08:09.353 -> 0,5
14:08:09.353 -> 0,5
14:08:09.387 -> 0,0
14:08:09.420 -> 0,0
14:08:09.420 -> 0,0
14:08:09.453 -> 0,0
14:08:09.453 -> 0,5
14:08:09.487 -> 0,5
14:08:09.520 -> 0,0
14:08:09.520 -> 0,0
14:08:09.554 -> 0,0
14:08:09.554 -> 0,0
14:08:09.591 -> 0,7
14:08:09.591 -> 0,0
14:08:09.627 -> 0,0
14:08:09.664 -> 0,0
14:08:09.664 -> 0,0
14:08:09.698 -> 0,2
14:08:09.698 -> 0,6
14:08:09.738 -> 0,0
14:08:09.738 -> 0,0
14:08:09.771 -> 0,0
14:08:09.771 -> 0,1
14:08:09.807 -> 0,2
14:08:09.844 -> 0,4
14:08:09.844 -> 0,0
14:08:09.880 -> 0,0
14:08:09.880 -> 0,0
14:08:09.914 -> 0,0
14:08:09.914 -> 0,6
14:08:09.948 -> 0,8
14:08:09.984 -> 0,0
14:08:09.984 -> 0,0
14:08:10.020 -> 0,0
14:08:10.020 -> 0,2
14:08:10.053 -> 0,2
14:08:10.053 -> 0,2
14:08:10.090 -> 0,0
14:08:10.090 -> 0,0
14:08:10.127 -> 0,2
14:08:10.164 -> 0,3
14:08:10.164 -> 0,2
14:08:10.198 -> 0,0
14:08:10.198 -> 0,0
14:08:10.232 -> 0,0
14:08:10.232 -> 0,6
14:08:10.270 -> 0,2
14:08:10.270 -> 0,0
14:08:10.303 -> 0,0
14:08:10.337 -> 0,0
14:08:10.337 -> 0,1
14:08:10.370 -> 0,10
14:08:10.370 -> 0,0
14:08:10.403 -> 0,0
14:08:10.437 -> 0,0
14:08:10.437 -> 0,1
14:08:10.470 -> 0,1
14:08:10.470 -> 0,0
14:08:10.503 -> 0,0
14:08:10.540 -> 0,0
14:08:10.540 -> 0,6
14:08:10.573 -> 0,4
14:08:10.573 -> 0,0
14:08:10.606 -> 0,0
14:08:10.640 -> 0,0
14:08:10.640 -> 0,4
14:08:10.674 -> 0,5
14:08:10.674 -> 0,0
14:08:10.707 -> 0,0
14:08:10.741 -> 0,0
14:08:10.741 -> 0,6
14:08:10.778 -> 0,0
14:08:10.778 -> 0,0
14:08:10.811 -> 0,0
14:08:10.811 -> 0,2
14:08:10.845 -> 0,0
14:08:10.885 -> 0,0
14:08:10.885 -> 0,0
14:08:10.920 -> 0,0
14:08:10.920 -> 0,2
14:08:10.953 -> 0,0
14:08:10.953 -> 0,0
14:08:10.987 -> 0,0
14:08:11.020 -> 0,0
14:08:11.020 -> 0,4
14:08:11.053 -> 0,0
14:08:11.053 -> 0,0
14:08:11.090 -> 0,0
14:08:11.090 -> 0,0
14:08:11.127 -> 0,8
14:08:11.163 -> 0,0
14:08:11.163 -> 0,0
14:08:11.199 -> 0,0
14:08:11.199 -> 0,0
14:08:11.237 -> 0,8
14:08:11.237 -> 0,6
14:08:11.270 -> 0,0
14:08:11.270 -> 0,0
14:08:11.303 -> 0,0
14:08:11.340 -> 0,7
14:08:11.340 -> 0,1
14:08:11.375 -> 0,0
14:08:11.375 -> 0,0
14:08:11.412 -> 0,0
14:08:11.412 -> 0,7
14:08:11.446 -> 0,2
14:08:11.481 -> 0,1
14:08:11.481 -> 0,0
14:08:11.519 -> 0,0
14:08:11.519 -> 0,7
14:08:11.553 -> 0,1
14:08:11.553 -> 0,0
14:08:11.589 -> 0,0
14:08:11.589 -> 0,0
14:08:11.626 -> 0,1
14:08:11.663 -> 0,3
14:08:11.663 -> 0,0
14:08:11.698 -> 0,0
14:08:11.698 -> 0,0
14:08:11.736 -> 0,6
14:08:11.736 -> 0,3
14:08:11.770 -> 0,0
14:08:11.770 -> 0,0
14:08:11.803 -> 0,0
14:08:11.838 -> 0,0
14:08:11.838 -> 0,0
14:08:11.874 -> 0,0
14:08:11.874 -> 0,0
14:08:11.911 -> 0,0
14:08:11.911 -> 0,2
14:08:11.946 -> 0,0
14:08:11.979 -> 0,0
14:08:11.979 -> 0,0
14:08:12.012 -> 0,0
14:08:12.012 -> 0,1
14:08:12.046 -> 0,0
14:08:12.080 -> 0,0
14:08:12.080 -> 0,0
14:08:12.113 -> 0,5
14:08:12.113 -> 0,0
14:08:12.147 -> 0,0
14:08:12.180 -> 0,0
14:08:12.180 -> 0,5
14:08:12.215 -> 0,1
14:08:12.215 -> 0,0
14:08:12.254 -> 0,0
14:08:12.254 -> 0,0
14:08:12.288 -> 0,3
14:08:12.324 -> 0,4
14:08:12.324 -> 0,0
14:08:12.358 -> 0,0
14:08:12.358 -> 0,0
14:08:12.394 -> 0,3
14:08:12.394 -> 0,9
14:08:12.432 -> 0,6
14:08:12.432 -> 0,0
14:08:12.469 -> 0,0
14:08:12.469 -> 0,0
14:08:12.503 -> 0,9
14:08:12.537 -> 0,4
14:08:12.537 -> 0,0
14:08:12.570 -> 0,0
14:08:12.570 -> 0,0
14:08:12.603 -> 0,6
14:08:12.637 -> 0,12
14:08:12.637 -> 0,0
14:08:12.675 -> 0,0
14:08:12.675 -> 0,7
14:08:12.711 -> 0,0
14:08:12.711 -> 0,0
14:08:12.748 -> 0,0
14:08:12.748 -> 0,0
14:08:12.782 -> 0,0
14:08:12.820 -> 0,4
14:08:12.820 -> 0,2
14:08:12.853 -> 0,0
14:08:12.853 -> 0,0
14:08:12.887 -> 0,0
14:08:12.920 -> 0,0
14:08:12.920 -> 0,7
14:08:12.955 -> 0,0
14:08:12.955 -> 0,0
14:08:12.990 -> 0,0
14:08:12.990 -> 0,0
14:08:13.025 -> 0,0
14:08:13.061 -> 0,0
14:08:13.061 -> 0,0
14:08:13.098 -> 0,0
14:08:13.098 -> 0,5
14:08:13.136 -> 0,0
14:08:13.136 -> 0,0
14:08:13.170 -> 0,0
