// up to max 1900 psi, opened motor fully and then started measuring pressure.
14:07:07.993 -> 0,0
14:07:07.993 -> 0,2
14:07:08.029 -> 0,0
14:07:08.029 -> 0,8
14:07:08.065 -> 0,11
14:07:08.065 -> 0,1
14:07:08.101 -> 0,0
14:07:08.101 -> 0,0
14:07:08.137 -> 0,0
14:07:08.173 -> 0,4
14:07:08.173 -> 0,0
14:07:08.209 -> 0,0
14:07:08.209 -> 0,0
14:07:08.245 -> 0,13
14:07:08.245 -> 0,4
14:07:08.281 -> 0,0
14:07:08.281 -> 0,0
14:07:08.317 -> 0,0
14:07:08.353 -> 0,7
14:07:08.353 -> 0,6
14:07:08.389 -> 0,0
14:07:08.389 -> 0,0
14:07:08.425 -> 0,11
14:07:08.425 -> 0,6
14:07:08.461 -> 0,0
14:07:08.461 -> 0,0
14:07:08.497 -> 0,0
14:07:08.533 -> 0,7
14:07:08.533 -> 0,0
14:07:08.569 -> 0,0
14:07:08.569 -> 0,0
14:07:08.605 -> 0,6
14:07:08.605 -> 0,0
14:07:08.641 -> 0,0
14:07:08.641 -> 0,0
14:07:08.677 -> 0,7
14:07:08.713 -> 0,5
14:07:08.713 -> 0,0
14:07:08.749 -> 0,0
14:07:08.749 -> 0,0
14:07:08.785 -> 0,6
14:07:08.785 -> 0,10
14:07:08.821 -> 0,1
14:07:08.821 -> 0,0
14:07:08.857 -> 0,0
14:07:08.890 -> 0,3
14:07:08.890 -> 0,5
14:07:08.924 -> 0,0
14:07:08.924 -> 0,0
14:07:08.957 -> 0,4
14:07:08.990 -> 0,10
14:07:08.990 -> 0,3
14:07:09.024 -> 0,0
14:07:09.024 -> 0,0
14:07:09.057 -> 0,0
14:07:09.090 -> 0,9
14:07:09.090 -> 0,3
14:07:09.124 -> 0,0
14:07:09.124 -> 0,0
14:07:09.157 -> 0,0
14:07:09.190 -> 0,0
14:07:09.190 -> 0,0
14:07:09.226 -> 0,0
14:07:09.226 -> 0,0
14:07:09.260 -> 0,0
14:07:09.260 -> 0,7
14:07:09.294 -> 0,0
14:07:09.330 -> 0,0
14:07:09.330 -> 0,0
14:07:09.365 -> 0,6
14:07:09.365 -> 0,11
14:07:09.401 -> 0,2
14:07:09.401 -> 0,0
14:07:09.439 -> 0,1
14:07:09.439 -> 0,1
14:07:09.474 -> 0,9
14:07:09.507 -> 0,0
14:07:09.507 -> 0,12
14:07:09.540 -> 0,5
14:07:09.540 -> 0,5
14:07:09.577 -> 0,10
14:07:09.610 -> 0,0
14:07:09.610 -> 0,0
14:07:09.644 -> 0,0
14:07:09.644 -> 0,0
14:07:09.679 -> 0,0
14:07:09.712 -> 0,0
14:07:09.712 -> 0,0
14:07:09.748 -> 0,0
14:07:09.748 -> 0,0
14:07:09.782 -> 0,0
14:07:09.782 -> 0,0
14:07:09.816 -> 0,1
14:07:09.851 -> 0,13
14:07:09.851 -> 0,6
14:07:09.884 -> 0,1
14:07:09.884 -> 0,9
14:07:09.918 -> 0,0
14:07:09.954 -> 0,0
14:07:09.954 -> 0,0
14:07:09.990 -> 0,9
14:07:09.990 -> 0,0
14:07:10.024 -> 0,0
14:07:10.024 -> 0,0
14:07:10.058 -> 0,0
14:07:10.095 -> 0,0
14:07:10.095 -> 0,0
14:07:10.129 -> 0,0
14:07:10.129 -> 0,0
14:07:10.162 -> 0,5
14:07:10.162 -> 0,21
14:07:10.195 -> 0,5
14:07:10.230 -> 0,0
14:07:10.230 -> 0,0
14:07:10.264 -> 0,0
14:07:10.264 -> 0,0
14:07:10.301 -> 0,0
14:07:10.301 -> 0,0
14:07:10.340 -> 0,0
14:07:10.340 -> 0,0
14:07:10.373 -> 0,0
14:07:10.408 -> 0,0
14:07:10.408 -> 0,0
14:07:10.444 -> 0,0
14:07:10.444 -> 0,2
14:07:10.478 -> 0,10
14:07:10.514 -> 0,13
14:07:10.514 -> 0,0
14:07:10.547 -> 0,0
14:07:10.547 -> 0,1
14:07:10.581 -> 0,10
14:07:10.581 -> 0,5
14:07:10.618 -> 0,0
14:07:10.658 -> 0,0
14:07:10.658 -> 0,0
14:07:10.692 -> 0,9
14:07:10.692 -> 0,1
14:07:10.730 -> 0,0
14:07:10.730 -> 0,0
14:07:10.764 -> 0,5
14:07:10.764 -> 0,8
14:07:10.798 -> 0,12
14:07:10.831 -> 0,5
14:07:10.831 -> 0,0
14:07:10.868 -> 0,0
14:07:10.868 -> 0,4
14:07:10.904 -> 0,10
14:07:10.904 -> 0,0
14:07:10.941 -> 0,0
14:07:10.941 -> 0,0
14:07:10.978 -> 0,0
14:07:11.014 -> 0,10
14:07:11.014 -> 0,0
14:07:11.050 -> 0,3
14:07:11.050 -> 0,0
14:07:11.083 -> 0,3
14:07:11.083 -> 0,3
14:07:11.117 -> 0,0
14:07:11.150 -> 0,0
14:07:11.150 -> 0,0
14:07:11.184 -> 0,0
14:07:11.184 -> 0,2
14:07:11.217 -> 0,0
14:07:11.252 -> 0,0
14:07:11.252 -> 0,0
14:07:11.285 -> 0,2
14:07:11.285 -> 0,2
14:07:11.322 -> 0,8
14:07:11.322 -> 0,0
14:07:11.357 -> 0,0
14:07:11.390 -> 0,0
14:07:11.390 -> 0,4
14:07:11.424 -> 0,2
14:07:11.424 -> 0,6
14:07:11.457 -> 0,4
14:07:11.490 -> 0,6
14:07:11.490 -> 0,6
14:07:11.526 -> 0,8
14:07:11.526 -> 0,0
14:07:11.559 -> 0,0
14:07:11.559 -> 0,0
14:07:11.593 -> 0,3
14:07:11.627 -> 0,0
14:07:11.627 -> 0,0
14:07:11.661 -> 0,0
14:07:11.661 -> 0,0
14:07:11.696 -> 0,1
14:07:11.733 -> 0,2
14:07:11.733 -> 0,0
14:07:11.767 -> 0,0
14:07:11.767 -> 0,3
14:07:11.801 -> 0,1
14:07:11.801 -> 0,1
14:07:11.834 -> 0,0
14:07:11.869 -> 0,0
14:07:11.869 -> 0,0
14:07:11.908 -> 0,6
14:07:11.908 -> 0,0
14:07:11.945 -> 0,0
14:07:11.945 -> 0,0
14:07:11.982 -> 0,0
14:07:11.982 -> 0,0
14:07:12.018 -> 0,0
14:07:12.057 -> 0,0
14:07:12.057 -> 0,0
14:07:12.090 -> 0,0
14:07:12.090 -> 0,7
14:07:12.123 -> 0,0
14:07:12.123 -> 0,0
14:07:12.157 -> 0,0
14:07:12.193 -> 0,2
14:07:12.193 -> 0,0
14:07:12.227 -> 0,6
14:07:12.227 -> 0,0
14:07:12.260 -> 0,0
14:07:12.260 -> 0,0
14:07:12.295 -> 0,12
14:07:12.328 -> 0,6
14:07:12.328 -> 0,4
14:07:12.366 -> 0,0
14:07:12.366 -> 0,0
14:07:12.403 -> 0,0
14:07:12.403 -> 0,5
14:07:12.439 -> 0,14
14:07:12.439 -> 0,7
14:07:12.474 -> 0,0
14:07:12.507 -> 0,0
14:07:12.507 -> 0,0
14:07:12.541 -> 0,0
14:07:12.541 -> 0,6
14:07:12.577 -> 0,0
14:07:12.613 -> 0,0
14:07:12.613 -> 0,0
14:07:12.647 -> 0,0
14:07:12.647 -> 0,3
14:07:12.682 -> 0,9
14:07:12.682 -> 0,0
14:07:12.715 -> 0,0
14:07:12.750 -> 0,3
14:07:12.750 -> 0,0
14:07:12.784 -> 0,6
14:07:12.784 -> 0,10
14:07:12.817 -> 0,0
14:07:12.858 -> 0,0
14:07:12.858 -> 0,2
14:07:12.894 -> 0,0
14:07:12.894 -> 0,4
14:07:12.929 -> 0,3
14:07:12.929 -> 0,3
14:07:12.964 -> 0,0
14:07:12.964 -> 0,9
14:07:12.997 -> 0,3
14:07:13.034 -> 0,5
14:07:13.034 -> 0,0
14:07:13.068 -> 0,2
14:07:13.068 -> 0,0
14:07:13.102 -> 0,9
14:07:13.102 -> 0,4
14:07:13.136 -> 0,5
14:07:13.174 -> 0,0
14:07:13.174 -> 0,0
14:07:13.207 -> 0,0
14:07:13.207 -> 0,1
14:07:13.240 -> 0,0
14:07:13.240 -> 0,0
14:07:13.274 -> 0,0
14:07:13.310 -> 0,0
14:07:13.310 -> 0,0
14:07:13.343 -> 0,2
14:07:13.343 -> 0,0
14:07:13.378 -> 0,0
14:07:13.415 -> 0,0
14:07:13.415 -> 0,0
14:07:13.450 -> 0,0
14:07:13.450 -> 0,7
14:07:13.485 -> 0,0
14:07:13.485 -> 0,0
14:07:13.518 -> 0,0
14:07:13.557 -> 0,0
14:07:13.557 -> 0,0
14:07:13.590 -> 0,2
14:07:13.590 -> 0,0
14:07:13.624 -> 0,0
14:07:13.624 -> 0,0
14:07:13.657 -> 0,0
14:07:13.690 -> 0,8
14:07:13.690 -> 0,7
14:07:13.724 -> 0,5
14:07:13.724 -> 0,0
14:07:13.757 -> 0,0
14:07:13.793 -> 0,3
14:07:13.793 -> 0,15
14:07:13.827 -> 0,3
14:07:13.827 -> 0,0
14:07:13.865 -> 0,0
14:07:13.865 -> 0,0
14:07:13.901 -> 0,0
14:07:13.901 -> 0,0
14:07:13.939 -> 0,0
14:07:13.939 -> 0,0
14:07:13.973 -> 0,0
14:07:14.007 -> 0,0
14:07:14.007 -> 0,0
14:07:14.040 -> 0,0
14:07:14.040 -> 0,6
14:07:14.074 -> 0,0
14:07:14.107 -> 0,0
14:07:14.107 -> 0,0
14:07:14.141 -> 0,0
14:07:14.141 -> 0,0
14:07:14.176 -> 0,13
14:07:14.211 -> 0,3
14:07:14.211 -> 0,4
14:07:14.245 -> 0,7
14:07:14.245 -> 0,0
14:07:14.280 -> 0,0
14:07:14.280 -> 0,0
14:07:14.315 -> 0,0
14:07:14.352 -> 0,1
14:07:14.352 -> 0,0
14:07:14.390 -> 0,0
14:07:14.390 -> 0,0
14:07:14.427 -> 0,0
14:07:14.427 -> 0,0
14:07:14.461 -> 0,0
14:07:14.461 -> 0,0
14:07:14.499 -> 0,0
14:07:14.499 -> 0,0
14:07:14.532 -> 0,0
14:07:14.567 -> 0,0
14:07:14.567 -> 0,0
14:07:14.607 -> 0,0
14:07:14.607 -> 0,0
14:07:14.646 -> 0,0
14:07:14.646 -> 0,0
14:07:14.681 -> 0,0
14:07:14.681 -> 0,14
14:07:14.714 -> 0,0
14:07:14.750 -> 0,6
14:07:14.750 -> 0,11
14:07:14.789 -> 0,0
14:07:14.789 -> 0,0
14:07:14.825 -> 0,0
14:07:14.825 -> 0,0
14:07:14.863 -> 0,4
14:07:14.863 -> 0,0
14:07:14.896 -> 0,0
14:07:14.930 -> 0,0
14:07:14.930 -> 0,6
14:07:14.965 -> 0,16
14:07:14.965 -> 0,8
14:07:15.000 -> 0,0
14:07:15.000 -> 0,0
14:07:15.033 -> 0,0
14:07:15.068 -> 0,0
14:07:15.068 -> 0,0
14:07:15.102 -> 0,1
14:07:15.102 -> 0,0
14:07:15.140 -> 0,3
14:07:15.140 -> 0,0
14:07:15.173 -> 0,0
14:07:15.207 -> 0,0
14:07:15.207 -> 0,0
14:07:15.240 -> 0,0
